"„all the latest parameter estimates for Buzzerbeater in one big sheet, scroll at will“",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.00,.01,.02,.00,.00,.00,.00,.01,.00,.04,6%,,C,.00,.00,.00,.01,.00,.00,.00,.25,.01,.00,.28,40%,,C,.00,.01,.00,.00,.00,.00,.00,.00,.08,.00,.09,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.00,.54,.11,.00,.02,.00,.01,.02,.01,.71,,,abs,.00,.00,.01,.05,.00,.04,.00,.55,.05,.01,.71,,,abs,.01,.03,.00,.00,.00,.01,.02,.00,.28,.00,.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,%,76%,15%,%,3%,%,2%,3%,1%,,,,rel,%,%,1%,6%,%,6%,%,78%,7%,2%,,,,rel,2%,8%,%,%,%,4%,5%,1%,80%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-3 Zone,,,,,,,Perimeter Defense,,,,,,,2-3 Zone,,,,,,,Inside Defense,,,,,,,2-3 Zone,,,,,,,Rebounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.00,.10,.02,.00,.00,.00,.00,.01,.01,.13,23%,,PG,.00,.00,.00,.02,.00,.02,.00,.00,.00,.00,.04,4%,,PG,.00,.00,.00,.00,.00,.01,.00,.00,.06,.00,.07,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.00,.16,.02,.00,.00,.00,.00,.01,.01,.19,34%,,SG,.00,.00,.00,.01,.00,.03,.00,.00,.01,.02,.06,8%,,SG,.00,.00,.00,.00,.00,.00,.00,.00,.03,.00,.04,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.00,.09,.02,.00,.00,.00,.00,.01,.01,.12,22%,,SF,.00,.00,.00,.02,.00,.02,.00,.12,.00,.02,.19,23%,,SF,.00,.00,.00,.00,.00,.01,.01,.00,.11,.00,.13,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.00,.02,.02,.00,.00,.00,.00,.01,.01,.06,11%,,PF,.00,.00,.00,.01,.00,.00,.00,.18,.01,.01,.22,27%,,PF,.00,.01,.00,.00,.00,.01,.01,.00,.08,.00,.11,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.00,.01,.02,.00,.00,.00,.00,.01,.01,.05,9%,,C,.00,.00,.01,.00,.00,.00,.00,.28,.01,.00,.30,37%,,C,.00,.01,.00,.00,.00,.00,.01,.00,.08,.00,.11,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.00,.38,.09,.00,.01,.00,.00,.03,.05,.55,,,abs,.00,.00,.01,.06,.00,.06,.00,.58,.03,.06,.80,,,abs,.00,.03,.00,.00,.00,.02,.03,.01,.36,.00,.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,%,68%,16%,%,1%,%,%,6%,9%,,,,rel,%,%,2%,8%,%,8%,%,72%,3%,7%,,,,rel,%,7%,%,%,%,5%,8%,2%,79%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-2 Zone,,,,,,,Perimeter Defense,,,,,,,3-2 Zone,,,,,,,Inside Defense,,,,,,,3-2 Zone,,,,,,,Rebounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.00,.16,.02,.00,.02,.00,.00,.00,.00,.21,27%,,PG,.00,.00,.00,.01,.00,.02,.00,.00,.00,.01,.05,8%,,PG,.00,.00,.00,.00,.00,.00,.01,.00,.03,.00,.04,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.00,.22,.02,.00,.02,.00,.00,.00,.01,.27,34%,,SG,.00,.00,.00,.01,.00,.02,.00,.00,.00,.01,.04,7%,,SG,.00,.00,.00,.00,.00,.00,.01,.00,.02,.00,.04,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.00,.15,.02,.00,.02,.00,.00,.00,.01,.19,24%,,SF,.00,.00,.00,.00,.00,.01,.00,.09,.01,.03,.12,20%,,SF,.00,.00,.00,.00,.00,.00,.01,.00,.07,.00,.08,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.00,.04,.02,.00,.01,.00,.00,.00,.01,.07,10%,,PF,.00,.00,.00,.00,.00,.01,.00,.14,.01,.01,.18,28%,,PF,.00,.00,.00,.00,.00,.00,.00,.00,.06,.00,.08,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.00,.00,.02,.00,.01,.00,.00,.00,.00,.04,5%,,C,.00,.00,.00,.01,.00,.01,.00,.20,.01,.00,.23,37%,,C,.00,.00,.00,.00,.00,.00,.00,.00,.09,.00,.10,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.00,.56,.08,.00,.09,.00,.00,.01,.03,.77,,,abs,.00,.00,.00,.03,.00,.07,.00,.44,.02,.06,.63,,,abs,.01,.02,.00,.00,.00,.01,.03,.00,.27,.00,.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,%,73%,11%,%,11%,%,%,2%,3%,,,,rel,%,%,1%,5%,%,11%,%,69%,4%,10%,,,,rel,3%,5%,%,%,%,4%,8%,%,80%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-3-1 Zone,,,,,,,Perimeter Defense,,,,,,,1-3-1 Zone,,,,,,,Inside Defense,,,,,,,1-3-1 Zone,,,,,,,Rebounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.00,.23,.03,.00,.01,.00,.01,.01,.00,.30,35%,,PG,.00,.00,.00,.02,.00,.01,.00,.01,.01,.00,.05,9%,,PG,.00,.00,.00,.00,.00,.01,.00,.00,.04,.00,.05,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.00,.24,.02,.00,.02,.00,.01,.01,.00,.30,35%,,SG,.00,.00,.00,.01,.00,.01,.00,.00,.00,.01,.03,5%,,SG,.00,.00,.00,.00,.00,.01,.00,.00,.03,.00,.04,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.00,.13,.02,.00,.01,.00,.00,.01,.00,.17,20%,,SF,.00,.00,.00,.01,.00,.01,.00,.08,.01,.02,.12,21%,,SF,.00,.00,.00,.00,.00,.00,.00,.00,.04,.00,.04,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.00,.05,.01,.00,.00,.00,.00,.00,.00,.07,8%,,PF,.00,.00,.00,.02,.00,.00,.00,.12,.01,.00,.15,26%,,PF,.00,.00,.00,.00,.00,.00,.00,.00,.05,.00,.06,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.00,.00,.01,.00,.00,.00,.00,.00,.00,.01,1%,,C,.00,.00,.00,.02,.00,.00,.00,.19,.00,.01,.22,38%,,C,.01,.00,.00,.00,.00,.00,.00,.00,.04,.00,.05,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.00,.65,.09,.00,.05,.00,.03,.03,.01,.86,,,abs,.00,.00,.00,.07,.00,.03,.00,.40,.03,.04,.57,,,abs,.01,.01,.00,.00,.00,.02,.01,.00,.19,.00,.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,%,76%,11%,%,6%,%,3%,4%,1%,,,,rel,%,%,%,12%,%,6%,%,69%,6%,7%,,,,rel,5%,3%,%,%,%,9%,5%,%,79%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Court Press,,,,,,,Perimeter Defense,,,,,,,Full Court Press,,,,,,,Inside Defense,,,,,,,Full Court Press,,,,,,,Rebounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.00,.14,.02,.00,.00,.00,.00,.00,.01,.18,26%,,PG,.00,.00,.00,.00,.00,.01,.00,.00,.00,.01,.02,3%,,PG,.00,.00,.00,.00,.00,.00,.00,.00,.03,.00,.04,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.00,.19,.02,.00,.01,.00,.00,.00,.01,.22,33%,,SG,.00,.00,.00,.00,.00,.01,.00,.00,.00,.01,.03,4%,,SG,.00,.00,.00,.00,.00,.00,.00,.00,.01,.00,.02,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.00,.11,.02,.00,.01,.00,.00,.00,.01,.14,21%,,SF,.00,.00,.01,.01,.00,.01,.00,.09,.00,.02,.13,19%,,SF,.00,.00,.00,.00,.00,.01,.00,.00,.03,.00,.04,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.00,.04,.02,.00,.00,.00,.00,.00,.01,.08,11%,,PF,.00,.00,.01,.01,.00,.01,.00,.17,.01,.01,.22,33%,,PF,.00,.00,.00,.00,.00,.01,.00,.00,.06,.00,.07,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.00,.02,.02,.00,.00,.00,.00,.01,.01,.06,9%,,C,.00,.00,.01,.01,.00,.01,.00,.22,.01,.01,.26,40%,,C,.00,.00,.00,.00,.00,.00,.00,.00,.04,.00,.05,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.00,.49,.09,.00,.02,.00,.00,.02,.05,.68,,,abs,.00,.00,.02,.03,.00,.04,.00,.48,.02,.06,.65,,,abs,.00,.02,.00,.00,.00,.03,.01,.00,.18,.00,.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,%,73%,14%,%,4%,%,%,3%,7%,,,,rel,%,%,4%,4%,%,6%,%,74%,3%,10%,,,,rel,%,9%,%,%,%,11%,4%,%,76%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Offense,,,,,,,Outside Scoring,,,,,,,Base Offense,,,,,,,Inside Scoring,,,,,,,Man to man,,,,,,,Perimeter Defense,,,,,,,Man to man,,,,,,,Inside Defense,,,,,,,Base Offense / Man to man,,,,,,,Rebounding,,,,,,,Base Offense,,,,,,,Offensive Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,51,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,131,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,131,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,51,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PG,.09,.12,.00,.00,.00,.00,.00,.00,.01,.00,.22,32%,,PG,.00,.01,.00,.00,.00,.01,.00,.00,.00,.00,.02,2%,0,PG,.00,.00,.16,.03,.00,.01,.00,.00,.00,.00,.20,28%,,PG,.00,.00,.00,.01,.00,.02,.00,.00,.01,.00,.04,5%,,PG,.00,.02,.00,.00,.00,.01,.00,.00,.08,.00,.10,15%,,PG,.00,.00,.00,.07,.00,.24,.01,.00,.00,.00,.32,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SG,.12,.10,.00,.00,.00,.00,.00,.00,.01,.00,.23,33%,,SG,.00,.02,.00,.00,.00,.00,.02,.00,.00,.00,.04,5%,0,SG,.00,.00,.20,.02,.00,.01,.00,.00,.00,.00,.24,34%,,SG,.00,.00,.00,.01,.00,.01,.00,.01,.01,.00,.04,6%,,SG,.00,.01,.00,.00,.00,.01,.01,.00,.09,.00,.12,17%,,SG,.00,.00,.00,.03,.00,.08,.00,.00,.00,.00,.11,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SF,.10,.03,.00,.00,.00,.00,.00,.00,.01,.00,.14,20%,,SF,.00,.03,.00,.00,.00,.00,.12,.00,.00,.00,.16,23%,0,SF,.00,.00,.12,.02,.00,.00,.00,.00,.00,.00,.15,22%,,SF,.00,.00,.00,.01,.00,.01,.00,.11,.01,.00,.14,19%,,SF,.00,.01,.00,.00,.00,.01,.01,.00,.10,.00,.13,19%,,SF,.00,.00,.00,.04,.01,.09,.00,.00,.00,.00,.15,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF,.01,.02,.00,.00,.01,.00,.00,.00,.01,.00,.05,7%,,PF,.00,.02,.00,.00,.00,.00,.18,.00,.00,.00,.20,29%,0,PF,.00,.00,.04,.02,.00,.00,.00,.00,.01,.00,.08,11%,,PF,.00,.00,.00,.01,.00,.00,.00,.18,.01,.00,.21,30%,,PF,.00,.01,.00,.00,.00,.01,.01,.00,.13,.00,.16,22%,,PF,.00,.00,.00,.01,.01,.00,.01,.00,.01,.00,.03,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,.00,.02,.00,.00,.02,.00,.00,.00,.01,.00,.05,8%,,C,.00,.00,.00,.01,.00,.00,.27,.00,.01,.00,.28,40%,0,C,.00,.00,.01,.02,.00,.00,.00,.00,.01,.00,.04,6%,,C,.00,.00,.00,.01,.00,.00,.00,.25,.01,.00,.28,40%,,C,.00,.01,.00,.00,.00,.01,.01,.00,.16,.00,.18,26%,,C,.00,.00,.00,.00,.01,.00,.02,.00,.01,.00,.04,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.33,.28,.00,.00,.03,.01,.00,.00,.04,.00,.69,,,abs,.00,.07,.00,.01,.02,.01,.58,.00,.01,.00,.71,,,abs,.00,.00,.54,.11,.00,.02,.00,.01,.02,.01,.71,,,abs,.00,.00,.01,.05,.00,.04,.00,.55,.05,.01,.71,,,abs,.01,.07,.00,.00,.00,.03,.03,.01,.55,.00,.70,,,abs,.00,.00,.00,.16,.03,.41,.04,.00,.02,.00,.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,47%,41%,%,%,5%,1%,%,%,6%,%,,,,rel,%,9%,%,2%,2%,2%,82%,%,2%,%,,,,rel,%,%,76%,15%,%,3%,%,2%,3%,1%,,,,rel,%,%,1%,6%,%,6%,%,78%,7%,2%,,,,rel,1%,10%,%,%,%,5%,4%,1%,79%,%,,,,rel,%,%,%,24%,4%,62%,6%,%,4%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Offense,,,,,,,Rebounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.01,.00,.00,.00,.00,.00,.00,.04,.00,.05,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.01,.00,.00,.00,.00,.00,.00,.05,.00,.06,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.01,.00,.00,.00,.00,.00,.00,.05,.00,.06,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.01,.00,.00,.00,.00,.00,.00,.06,.00,.08,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.01,.00,.00,.00,.00,.00,.00,.08,.00,.09,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New analysis of training speeds based on crowd-sourced data at training.bb-usa.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.04,.00,.00,.00,.02,.01,.00,.27,.00,.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,11%,%,%,%,5%,3%,1%,79%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,PA,,0.75,1to2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,primary,,0.4,1to3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man to man,,,,,,,Rebounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,Prime-corr,,0.44,2to5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,split shot,,0.25,1to5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.01,.00,.00,.00,.00,.00,.00,.04,.00,.05,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16,PA sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.01,.00,.00,.00,.00,.00,.00,.05,.00,.06,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,sec emph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.01,.00,.00,.00,.00,.00,.00,.05,.00,.07,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,sec  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.01,.00,.00,.00,.00,.00,.00,.06,.00,.08,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.01,.00,.00,.00,.00,.00,.00,.08,.00,.09,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.7,0.65,0.7,0.308,0.7,0.525,0.525,0.175,0.7,0.525,0.28,1,0.75,0.4,1.3,1.3,0.572,0.92,0.69,0.23,0.65,0.4875,0.26,0.65,0.4875,0.26,0.6,0.264,0.8,0.6,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.01,.03,.00,.00,.00,.01,.02,.00,.28,.00,.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,,,,,,,,,,,,,,,,,,,,,,,rel,2%,8%,%,%,%,4%,5%,1%,80%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JS for 12,JS for 34,JS for 23,JS for team,JR for 2,JR for 12,JR for 23,JR for team,OD for 1,OD for 12,OD for 123,HA for 1,HA for 12,HA for 123,DR for 12,DR for 34,DR for team,PA for 1,PA for 12,PA for team,IS for 5,IS for 45,IS for 345,ID for 5,ID for 45,ID for 345,RB for 45,RB for team,SB for 5,SB for 45,SB for 345,ST,FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JS,JS,JS,JS,JR,JR,JR,JR,OD,OD,OD,HA,HA,HA,DR,DR,DR,PA,PA,PA,IS,IS,IS,"ID","ID","ID",RB,RB,SB,SB,SB,,,,,,,Height,0.00,-0.05,-0.05,-0.05,0.00,0.00,0.05,0.050,0.050,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
